===== batch learning =====
[219] error:3.000000, param:[-21.039398 -10.531264], count: 1
[220] count is over 100000. give up.
[221] error:3.000000, param:[22.259631 39.687770], count: 1
[222] error:3.000000, param:[8.983434 22.803435], count: 1
[223] error:3.000000, param:[-32.164090 -18.105198], count: 1
[224] error:3.000000, param:[27.042847 -11.509051], count: 1
[225] error:3.000000, param:[36.704849 22.143898], count: 1
[226] error:3.000000, param:[-23.683671 -16.670116], count: 1
[227] error:2.999610, param:[18.550462 -40.798545], count: 1
[228] error:3.000000, param:[32.666820 -10.882018], count: 1
[229] error:3.000000, param:[-49.116433 -41.602806], count: 1
[230] error:3.000000, param:[-44.206422 -41.068223], count: 1
[231] error:3.000000, param:[47.481217 -25.794014], count: 1
[232] error:3.000000, param:[-12.774789 1.177220], count: 1
[233] error:2.999987, param:[1.638796 10.838275], count: 1
[234] error:3.000000, param:[6.214301 17.207731], count: 1
[235] error:3.000000, param:[-18.825816 0.293280], count: 1
[236] error:3.000000, param:[9.978777 -43.741496], count: 1
[237] error:2.999995, param:[-0.769201 -12.734241], count: 1
[238] error:3.000000, param:[20.567340 36.417598], count: 1
[239] error:3.000000, param:[48.731856 -6.345549], count: 1
[240] error:3.000000, param:[-31.405627 -40.842474], count: 1
[241] error:3.000000, param:[-6.235120 43.343649], count: 1
[242] count is over 100000. give up.
[243] error:3.000000, param:[-27.250034 -35.924814], count: 1
[244] error:2.999832, param:[7.574593 0.591755], count: 1
[245] error:3.000000, param:[-32.248276 -36.343742], count: 1
[246] error:3.000000, param:[39.337620 23.662931], count: 1
[247] error:0.749549, param:[13.945403 -20.589581], count: 64605
[248] error:3.000000, param:[-39.455944 9.283451], count: 1
[249] error:3.000000, param:[38.566987 5.020909], count: 1
[250] count is over 100000. give up.
[251] error:3.000000, param:[-6.336043 -42.601032], count: 1
[252] error:3.000000, param:[31.650206 48.557845], count: 1
[253] error:3.000000, param:[-42.613286 21.171733], count: 1
[254] error:3.000000, param:[-40.092163 -10.057263], count: 1
[255] error:2.999992, param:[15.771428 -6.644785], count: 1
[256] count is over 100000. give up.
[257] count is over 100000. give up.
[258] count is over 100000. give up.
[259] error:3.000000, param:[-43.637635 -10.621931], count: 1
[260] error:2.999695, param:[32.067279 -30.161692], count: 1
[261] error:3.000000, param:[-43.352007 -36.887171], count: 1
[262] error:3.000000, param:[37.662232 -22.833778], count: 1
[263] error:2.999999, param:[-30.657592 29.509524], count: 1
[264] error:0.738544, param:[9.765087 -14.389513], count: 1850
[265] error:3.000000, param:[22.397783 34.403061], count: 1
[266] error:3.000000, param:[-36.281455 -33.536616], count: 1
[267] count is over 100000. give up.
[268] error:2.996798, param:[-13.631282 26.117739], count: 11449
[269] error:3.000000, param:[34.763191 15.193116], count: 1
[270] error:2.999953, param:[-1.833110 14.257461], count: 1
[271] error:2.999909, param:[-9.065083 23.930404], count: 1
[272] error:3.000000, param:[-7.330904 -47.148045], count: 1
[273] error:3.000000, param:[-3.694444 34.975780], count: 1
[274] error:2.997901, param:[5.129793 1.197525], count: 1
[275] error:3.000001, param:[-44.887320 47.347157], count: 1
[276] error:2.999998, param:[-7.358460 25.413009], count: 1
[277] error:3.000000, param:[-37.404423 -42.991984], count: 1
[278] error:3.000000, param:[46.525929 38.936733], count: 1
[279] error:2.999996, param:[-12.904257 5.344568], count: 1
[280] error:3.000000, param:[31.412521 25.443345], count: 1
[281] error:3.000000, param:[-49.080216 5.670035], count: 1
[282] error:0.905765, param:[28.105092 -41.526125], count: 19327
[283] error:2.999999, param:[-14.264906 5.382666], count: 1
[284] error:3.000000, param:[39.120444 19.362266], count: 1
[285] error:3.000000, param:[-4.705020 -11.403042], count: 1
[286] error:3.000000, param:[16.874913 39.669164], count: 1
[287] error:2.999998, param:[19.091450 -47.089647], count: 1
[288] count is over 100000. give up.
[289] error:3.000000, param:[-14.455480 -5.440985], count: 1
[290] error:2.999127, param:[-15.579354 29.729180], count: 13514
[291] error:3.000000, param:[29.609197 -3.876350], count: 1
[292] error:3.000000, param:[-26.361831 18.253321], count: 1
[293] error:3.000000, param:[2.727628 25.886446], count: 1
[294] error:2.999706, param:[18.001346 -40.134920], count: 1
[295] error:3.000000, param:[49.277639 -16.208240], count: 1
[296] error:3.000000, param:[-40.277781 -2.419963], count: 1
[297] error:3.000000, param:[-29.581367 -44.591521], count: 1
[298] error:2.999661, param:[2.780405 6.078030], count: 1
[299] error:3.000000, param:[-34.111126 -42.527188], count: 1
[300] error:2.997111, param:[40.442287 -42.545673], count: 1
========== result ==========
minimum error: 0.734935
ideal param:   [10.850101 -15.996083]
time per trial:3.049222[s]

===== online learning =====
[001] error:2.993277, param:[-9.082308 16.188241], count: 5320
[002] error:3.000000, param:[-17.247393 -23.449977], count: 1
[003] error:3.000000, param:[41.773173 29.195404], count: 1
[004] error:3.000000, param:[-40.554685 28.392295], count: 1
[005] error:2.996821, param:[-13.083132 26.071800], count: 1
[006] error:3.000000, param:[4.948192 -31.109506], count: 1
[007] error:3.000000, param:[25.174062 -0.516593], count: 1
[008] error:3.000000, param:[-5.293978 31.955807], count: 1
[009] error:3.000000, param:[-25.110551 -34.358464], count: 1
[010] error:3.000000, param:[39.917691 -22.691878], count: 1
[011] error:3.691075, param:[-21.514743 35.604705], count: 13
[012] error:3.000000, param:[39.444748 -32.065893], count: 1
[013] error:3.000000, param:[-14.824094 47.561938], count: 1
[014] error:3.000000, param:[-43.044968 -30.562685], count: 1
[015] error:3.000000, param:[-49.431586 -29.532076], count: 1
[016] error:3.000000, param:[25.942460 5.382146], count: 1
[017] error:2.999979, param:[-2.111581 15.422771], count: 1
[018] error:3.000000, param:[-35.890655 -10.514418], count: 1
[019] error:2.999992, param:[9.393698 1.359844], count: 1
[020] error:3.000000, param:[19.967793 26.755080], count: 1
[021] error:3.000000, param:[3.411847 -23.388515], count: 1
[022] error:2.999973, param:[10.830232 -30.269226], count: 1
[023] error:3.000000, param:[34.391224 26.475951], count: 1
[024] error:3.000000, param:[15.477842 21.832121], count: 1
[025] error:3.000000, param:[25.123172 0.141677], count: 1
[026] error:3.000000, param:[-48.850291 2.700681], count: 1
[027] error:3.000000, param:[-2.264750 28.884742], count: 1
[028] error:3.000000, param:[-42.830081 38.017233], count: 1
[029] error:3.000000, param:[-14.664565 -38.127534], count: 1
[030] error:3.000000, param:[-1.202029 -26.439670], count: 1
[031] error:3.000000, param:[21.632201 25.316808], count: 1
[032] error:3.000000, param:[-0.113064 31.041555], count: 1
[033] error:3.000000, param:[0.934287 -25.674879], count: 1
[034] error:3.000000, param:[1.036243 -21.018860], count: 1
[035] error:4.296511, param:[-31.010951 49.268941], count: 4
[036] error:3.000000, param:[41.396280 36.612354], count: 1
[037] error:3.000000, param:[-1.916877 -45.719830], count: 1
[038] error:3.000000, param:[-39.513582 7.661593], count: 1
[039] error:3.000000, param:[10.182324 15.238085], count: 1
[040] error:2.960537, param:[-7.689428 7.113657], count: 4
[041] error:3.000000, param:[-19.973484 1.240561], count: 1
[042] error:2.999963, param:[1.098858 10.515132], count: 1
[043] error:3.000000, param:[-22.852804 -26.219975], count: 1
[044] error:2.999953, param:[-4.225469 17.589139], count: 1
[045] error:0.946626, param:[19.188345 -26.490359], count: 1
[046] error:3.000000, param:[-33.813520 -10.886727], count: 1
[047] error:2.999872, param:[14.942285 -8.357817], count: 1
[048] error:3.000000, param:[23.726760 24.277625], count: 1
[049] error:3.006643, param:[-40.593713 46.665651], count: 1
[050] error:3.000000, param:[5.832268 -47.427684], count: 1
[051] error:3.000000, param:[39.107060 -24.577233], count: 1
[052] error:3.000000, param:[11.464538 -42.014644], count: 1
[053] error:3.000000, param:[-2.268509 42.643412], count: 1
[054] error:3.916094, param:[-37.607072 48.687310], count: 1
[055] error:3.000000, param:[12.724813 30.951448], count: 1
[056] error:3.000000, param:[39.808475 3.037563], count: 1
[057] error:3.000000, param:[7.225762 11.102046], count: 1
[058] error:3.000000, param:[9.457345 48.030901], count: 1
[059] error:3.000000, param:[-24.477470 -8.329656], count: 1
[060] error:3.000000, param:[42.779236 38.263197], count: 1
[061] error:3.490638, param:[-35.971803 44.930805], count: 1
[062] error:3.008795, param:[-17.467700 19.288764], count: 1
[063] error:0.955081, param:[30.343074 -46.466001], count: 1
[064] error:2.999183, param:[-1.907757 11.503432], count: 1
[065] error:3.000836, param:[-21.081670 39.703944], count: 1
[066] error:3.000000, param:[23.443176 39.020771], count: 1
[067] error:2.801257, param:[1.311594 1.586365], count: 17
[068] error:3.000000, param:[-26.526355 -30.605275], count: 1
[069] error:3.020221, param:[-36.787242 42.747308], count: 1
[070] error:3.000000, param:[36.321147 -12.731779], count: 1
[071] error:3.000000, param:[-41.653457 14.705987], count: 1
[072] error:3.000000, param:[-24.582003 -7.959026], count: 1
[073] error:3.000000, param:[19.605325 34.801679], count: 1
[074] error:3.000000, param:[-3.148676 -25.320660], count: 1
[075] error:3.000000, param:[6.446497 38.714148], count: 1
[076] error:2.999328, param:[21.744821 -18.387698], count: 1
[077] error:3.000000, param:[-13.445457 -42.324522], count: 1
[078] error:3.000000, param:[-18.461502 45.083191], count: 1
[079] error:2.999978, param:[-20.205154 17.455833], count: 1
[080] error:3.000000, param:[10.325762 17.758483], count: 1
[081] error:3.126153, param:[-12.432454 15.013578], count: 20
[082] error:3.000000, param:[-47.701289 -37.249487], count: 1
[083] error:2.992831, param:[6.722170 -2.076431], count: 1
[084] error:3.000000, param:[-27.058076 -23.046054], count: 1
[085] error:3.000000, param:[44.710251 -26.402832], count: 1
[086] error:3.000000, param:[44.259615 11.869851], count: 1
[087] error:3.000000, param:[8.385403 22.725519], count: 1
[088] error:3.000000, param:[-29.188976 14.494284], count: 1
[089] error:3.000000, param:[-16.721725 3.895715], count: 1
[090] error:3.000000, param:[16.854724 23.021651], count: 1
[091] error:3.000000, param:[-43.449069 37.149069], count: 1
[092] error:3.000000, param:[-5.310651 -19.598679], count: 1
[093] error:3.000000, param:[10.633348 -36.852757], count: 1
[094] error:3.000000, param:[-49.569791 -37.766008], count: 1
[095] error:3.000000, param:[13.660895 42.395819], count: 1
[096] error:2.565756, param:[9.495565 -18.115653], count: 2
[097] error:3.000000, param:[31.254901 30.331416], count: 1
[098] error:3.000000, param:[-3.403993 -25.320593], count: 1
[099] error:3.000000, param:[-13.688433 -30.818753], count: 1
[100] error:2.999993, param:[-22.170395 46.341174], count: 1
[101] error:3.000000, param:[3.795777 -23.214012], count: 1
[102] error:3.000000, param:[47.763201 11.984883], count: 1
[103] error:3.000000, param:[-35.073523 -49.853124], count: 1
[104] error:3.000000, param:[9.619758 -44.831375], count: 1
[105] error:2.999975, param:[1.548390 10.318208], count: 1
[106] error:3.000000, param:[-29.723754 10.082094], count: 1
[107] error:3.000000, param:[34.834561 44.264250], count: 1
[108] error:3.000000, param:[-39.755598 36.340550], count: 1
[109] error:2.999834, param:[0.774252 9.455304], count: 1
[110] error:3.000000, param:[36.325125 11.595195], count: 1
[111] error:3.000000, param:[10.360960 26.147023], count: 1
[112] error:3.000000, param:[-1.658013 25.339401], count: 1
[113] error:3.000000, param:[-10.434793 40.580788], count: 1
[114] error:3.000000, param:[-13.341500 39.150526], count: 1
[115] error:3.000000, param:[45.690187 5.342505], count: 1
[116] error:3.000000, param:[-6.944130 -8.008685], count: 1
[117] error:3.000000, param:[-20.864048 -4.545954], count: 1
[118] error:3.000000, param:[43.347419 -8.460446], count: 1
[119] error:3.000000, param:[-47.903652 -27.065763], count: 1
[120] error:3.000000, param:[-44.151327 -40.651167], count: 1
[121] error:3.000000, param:[37.475767 46.885378], count: 1
[122] error:1.727787, param:[23.797773 -30.085119], count: 1
[123] error:2.999979, param:[9.024705 -27.479610], count: 1
[124] error:2.999976, param:[15.820715 -38.901602], count: 1
[125] error:3.000000, param:[46.980580 26.484832], count: 1
[126] error:3.000000, param:[5.105489 45.738751], count: 1
[127] error:3.000000, param:[-18.796785 3.341778], count: 1
[128] error:1.739982, param:[-1.180471 1.863905], count: 18556
[129] error:4.449050, param:[-32.894064 48.510107], count: 1
[130] error:2.999969, param:[-8.614594 24.346292], count: 1
[131] error:1.380963, param:[0.675000 -0.921452], count: 29192
[132] error:2.999991, param:[-11.114309 3.456198], count: 1
[133] error:3.000000, param:[46.354634 -5.036170], count: 1
[134] error:2.977289, param:[36.780072 -40.203631], count: 1
[135] error:3.000000, param:[45.111359 31.083570], count: 1
[136] error:0.762671, param:[15.307096 -22.538751], count: 1
[137] error:3.000000, param:[-29.473192 18.207910], count: 1
[138] error:3.000000, param:[22.583725 3.379680], count: 1
[139] error:3.000000, param:[42.325123 47.849892], count: 1
[140] error:3.001476, param:[-16.785124 17.941797], count: 1
[141] error:3.000000, param:[33.845733 -25.119218], count: 1
[142] error:3.000000, param:[-44.393437 4.174094], count: 1
[143] error:1.045670, param:[3.069139 -4.462442], count: 29660
[144] error:3.000000, param:[9.110851 13.745642], count: 1
[145] error:3.000000, param:[43.587458 -33.007738], count: 1
[146] error:3.000000, param:[46.248081 1.878839], count: 1
[147] error:3.000000, param:[1.032395 20.647470], count: 1
[148] error:3.000000, param:[-8.910247 -39.112544], count: 1
[149] error:3.000000, param:[26.922112 -16.213216], count: 1
[150] error:2.999999, param:[-19.259552 12.657836], count: 1
[151] error:3.000000, param:[-20.011224 -25.375710], count: 1
[152] error:3.000000, param:[-48.576584 11.795107], count: 1
[153] error:3.000000, param:[48.343396 1.253861], count: 1
[154] error:3.000000, param:[-22.981150 13.477165], count: 1
[155] error:3.000000, param:[-13.754561 -43.471462], count: 1
[156] error:3.000000, param:[25.299680 -5.241263], count: 1
[157] error:3.000000, param:[-24.517663 -32.764564], count: 1
[158] error:3.000000, param:[-47.983379 -38.767338], count: 1
[159] error:3.000000, param:[-19.508319 -35.757795], count: 1
[160] error:3.000000, param:[39.590383 0.846546], count: 1
[161] error:4.138285, param:[-33.774061 44.783844], count: 1
[162] error:3.000000, param:[-48.594141 -34.698478], count: 1
[163] error:2.999987, param:[13.317048 -35.202515], count: 1
[164] error:3.000000, param:[-25.788830 -35.703497], count: 1
[165] error:3.000000, param:[-27.553836 -9.562242], count: 1
