===== batch learning =====
[162] error:2.999995, param:[42.448599 -38.503264], count: 1
[163] error:3.000000, param:[-41.619725 0.328385], count: 1
[164] error:0.734927, param:[11.109112 -16.386867], count: 2229
[165] error:3.000000, param:[26.752303 -0.319299], count: 1
[166] error:3.000000, param:[-46.900826 -17.002749], count: 1
[167] error:3.000000, param:[35.454654 0.098241], count: 1
[168] error:3.000000, param:[17.988389 44.332869], count: 1
[169] error:3.000000, param:[19.087104 0.200583], count: 1
[170] error:3.000000, param:[15.989373 23.716413], count: 1
[171] error:3.000000, param:[-49.200388 4.949519], count: 1
[172] error:2.999815, param:[-20.055371 20.352064], count: 1
[173] error:3.000000, param:[-44.666979 -46.124807], count: 1
[174] error:3.000000, param:[26.974612 46.091897], count: 1
[175] error:2.999998, param:[-5.648158 22.968192], count: 1
[176] error:3.000000, param:[-35.359197 -27.187236], count: 1
[177] error:3.000000, param:[31.281823 -6.427495], count: 1
[178] error:3.000000, param:[-11.823795 -22.792713], count: 1
[179] error:3.000000, param:[17.131568 23.754003], count: 1
[180] error:3.000000, param:[2.546966 36.079328], count: 1
[181] error:3.000000, param:[-47.103189 25.821400], count: 1
[182] error:3.000000, param:[34.400854 40.513497], count: 1
[183] error:3.000000, param:[27.528720 10.907042], count: 1
[184] error:3.000088, param:[-31.041807 33.076677], count: 1042
[185] error:3.000000, param:[-5.827516 48.080719], count: 1
[186] error:3.000000, param:[-26.535210 -33.695732], count: 1
[187] error:3.000000, param:[-16.357249 -21.406042], count: 1
[188] error:2.999999, param:[-2.288006 18.776682], count: 1
[189] error:3.000000, param:[23.220272 -7.923748], count: 1
[190] error:3.000000, param:[-45.693974 -38.917414], count: 1
[191] error:3.000000, param:[24.464172 -0.190086], count: 1
[192] error:3.000000, param:[-35.690425 20.092986], count: 1
[193] error:3.000000, param:[3.459639 -30.338889], count: 1
[194] error:3.000000, param:[16.410031 20.046700], count: 1
[195] error:3.000000, param:[27.637210 5.230477], count: 1
[196] error:3.000000, param:[-32.000209 6.504853], count: 1
[197] error:3.000000, param:[-29.072948 16.169010], count: 1
[198] error:3.000000, param:[9.097876 -44.868990], count: 1
[199] error:3.000000, param:[0.617018 -42.109626], count: 1
[200] error:3.000000, param:[-27.548404 -19.860028], count: 1
[201] error:2.999886, param:[-6.165166 19.476108], count: 1
[202] error:3.000000, param:[-24.440612 -15.384654], count: 1
[203] error:0.734925, param:[10.851379 -16.004897], count: 2573
[204] error:3.000000, param:[29.185012 -9.330061], count: 1
[205] error:2.999999, param:[-27.188873 24.312561], count: 1
[206] error:0.734927, param:[11.109124 -16.386884], count: 6812
[207] error:0.734927, param:[11.109042 -16.386764], count: 3236
[208] error:3.000000, param:[-47.171490 3.994809], count: 1
[209] error:3.000000, param:[-4.118751 -23.791180], count: 1
[210] error:3.000000, param:[29.005933 36.777681], count: 1
[211] error:2.999990, param:[-22.498140 19.916570], count: 1
[212] error:3.000000, param:[40.727925 36.322771], count: 1
[213] error:3.000000, param:[-33.045035 11.183803], count: 1
[214] error:2.999872, param:[-11.212325 26.778124], count: 1
[215] error:0.734925, param:[10.851320 -16.004809], count: 2556
[216] error:2.999999, param:[-15.049580 6.730369], count: 1
[217] error:3.000000, param:[-13.156932 44.822067], count: 1
[218] error:3.000000, param:[-29.764250 22.516527], count: 1
[219] error:3.000000, param:[1.803329 20.861403], count: 1
[220] error:0.734927, param:[11.108969 -16.386654], count: 7567
[221] error:0.734926, param:[10.851308 -16.004792], count: 2583
[222] error:3.000000, param:[48.721340 -19.855969], count: 1
[223] error:3.000000, param:[-6.920924 45.379980], count: 1
[224] error:2.999970, param:[16.581344 -8.945390], count: 1
[225] error:3.000000, param:[-4.244963 -49.675366], count: 1
[226] error:3.000000, param:[-9.267895 -33.154725], count: 1
[227] error:3.000000, param:[-29.797831 -15.750400], count: 1
[228] error:0.734926, param:[10.851291 -16.004766], count: 2527
[229] error:3.000000, param:[33.373742 -10.284756], count: 1
[230] error:3.000000, param:[35.902742 -5.616295], count: 1
[231] error:3.000000, param:[-26.309621 -39.845661], count: 1
[232] error:3.000000, param:[14.302885 14.056148], count: 1
[233] error:3.000000, param:[-12.842408 -40.257933], count: 1
[234] error:3.000000, param:[33.430362 -16.212141], count: 1
[235] error:3.000000, param:[37.810413 -1.931444], count: 1
[236] error:3.000000, param:[-44.168312 27.249410], count: 1
[237] error:3.000000, param:[-23.266100 -31.524950], count: 1
[238] error:3.000000, param:[-22.085478 -26.463866], count: 1
[239] error:2.999984, param:[-3.205680 17.211827], count: 1
[240] error:3.000000, param:[-12.952050 -15.496406], count: 1
[241] error:3.000077, param:[-28.447325 30.013323], count: 1006
[242] error:3.000000, param:[35.985860 8.308566], count: 1
