===== batch learning =====
[156] error:3.000000, param:[-27.614613 -48.316606], count: 1
[157] error:3.000000, param:[39.825167 -18.220954], count: 1
[158] error:0.735228, param:[10.592167 -15.620750], count: 19409
[159] error:3.000000, param:[-14.545282 -34.113019], count: 1
[160] error:3.000000, param:[35.548670 32.883433], count: 1
[161] error:0.735286, param:[11.412112 -16.835946], count: 75183
[162] error:0.735228, param:[10.592197 -15.620795], count: 11297
[163] error:3.000000, param:[22.762299 30.992742], count: 1
[164] error:3.000000, param:[3.518491 13.457428], count: 1
[165] error:0.735287, param:[11.412124 -16.835963], count: 73908
[166] error:3.000000, param:[-10.585683 -25.477431], count: 1
[167] error:3.000000, param:[-2.902954 31.342225], count: 1
[168] error:3.000000, param:[41.031138 1.392270], count: 1
[169] error:3.000000, param:[-23.868864 12.254020], count: 1
[170] error:3.000000, param:[23.575069 36.210364], count: 1
[171] error:0.735287, param:[11.412156 -16.836012], count: 42163
[172] error:3.000000, param:[-2.838320 -18.137757], count: 1
[173] error:3.000000, param:[0.632145 40.300440], count: 1
[174] error:3.000000, param:[0.442776 -35.700389], count: 1
[175] error:0.735228, param:[10.592216 -15.620822], count: 13100
[176] error:3.000000, param:[8.719930 10.266811], count: 1
[177] error:0.735228, param:[10.592215 -15.620821], count: 17304
[178] error:3.000000, param:[17.814746 22.919523], count: 1
[179] error:3.000000, param:[-19.888543 -27.962990], count: 1
[180] error:3.000000, param:[-40.138667 -30.415854], count: 1
[181] error:3.000000, param:[-43.612728 -13.297006], count: 1
[182] error:3.000000, param:[-24.561261 -38.170918], count: 1
[183] error:3.000000, param:[31.763007 -11.516301], count: 1
[184] error:3.000000, param:[-0.435933 43.669919], count: 1
[185] error:2.999991, param:[-4.476663 19.614754], count: 1
[186] error:3.000000, param:[-29.066400 14.980351], count: 1
[187] error:3.000268, param:[-27.004376 28.837710], count: 3249
[188] error:3.000000, param:[-41.872125 8.685086], count: 1
[189] error:3.000000, param:[-2.429073 -32.845888], count: 1
[190] count is over 100000. give up.
[191] error:3.000315, param:[-34.277377 37.501067], count: 3582
[192] error:3.000000, param:[-43.545602 -11.172581], count: 1
[193] error:3.000000, param:[45.337446 -12.334369], count: 1
[194] error:3.000000, param:[0.798857 -35.372915], count: 1
[195] error:3.000000, param:[-48.658575 -22.127963], count: 1
[196] error:3.000000, param:[-3.327469 30.853642], count: 1
[197] error:3.000000, param:[42.328858 14.059838], count: 1
[198] error:3.000000, param:[40.959742 22.836752], count: 1
[199] error:3.000000, param:[-23.412505 -20.917674], count: 1
[200] error:3.000000, param:[-36.852188 -3.336605], count: 1
[201] error:3.000000, param:[-49.405942 -8.201498], count: 1
[202] error:3.000000, param:[-21.064500 -2.964900], count: 1
[203] error:3.000000, param:[18.242476 3.927534], count: 1
[204] error:2.999999, param:[-7.983962 27.102471], count: 1
[205] error:3.000022, param:[-21.655336 41.427619], count: 2191
[206] error:3.000000, param:[-22.863076 6.280945], count: 1
[207] error:3.000000, param:[-32.645308 7.787765], count: 1
[208] error:3.000000, param:[24.652341 19.859735], count: 1
[209] error:2.999997, param:[0.291350 -14.940942], count: 1
[210] error:3.000000, param:[34.173536 25.267382], count: 1
[211] error:2.999704, param:[-18.546586 36.726679], count: 1
[212] error:3.000000, param:[-47.825209 -18.498560], count: 1
[213] error:2.999964, param:[18.878844 -11.948145], count: 1
[214] error:3.000000, param:[7.215999 27.081758], count: 1
[215] error:3.000000, param:[18.846489 1.446422], count: 1
[216] error:3.000000, param:[-45.465590 35.121129], count: 1
[217] error:3.000000, param:[35.008596 4.933685], count: 1
[218] error:3.000000, param:[-11.013431 43.751823], count: 1
[219] error:3.000000, param:[-34.215626 -44.099607], count: 1
[220] error:3.000000, param:[-28.992139 17.523513], count: 1
[221] error:3.000000, param:[25.536353 20.496451], count: 1
[222] error:3.000000, param:[21.753035 43.229262], count: 1
[223] error:2.999970, param:[34.151097 -30.367185], count: 1
[224] error:3.000000, param:[13.152219 41.385124], count: 1
[225] error:3.000000, param:[-4.963922 -42.459979], count: 1
[226] error:3.000000, param:[-10.284229 42.392594], count: 1
[227] error:3.000000, param:[-5.687943 -28.413865], count: 1
[228] error:3.000000, param:[41.454280 -18.485237], count: 1
[229] error:2.999996, param:[22.048435 -13.643766], count: 1
[230] error:3.000000, param:[-16.669147 -28.698927], count: 1
[231] error:3.000000, param:[45.773506 -20.879838], count: 1
[232] error:3.000000, param:[-31.135414 -18.101564], count: 1
[233] error:3.000000, param:[13.069248 37.846156], count: 1
[234] error:3.000000, param:[-38.707677 -35.033710], count: 1
[235] error:3.000000, param:[11.310291 1.781914], count: 1
[236] error:3.000000, param:[-44.509190 -12.124201], count: 1
[237] error:3.000000, param:[-13.913265 39.354083], count: 1
[238] error:3.000000, param:[45.881111 13.472980], count: 1
[239] error:3.000000, param:[44.594873 -2.141132], count: 1
[240] error:3.000000, param:[-21.242042 -49.888108], count: 1
[241] error:0.735228, param:[10.592184 -15.620775], count: 14874
[242] error:3.000000, param:[7.173498 -30.224473], count: 1
[243] error:3.000000, param:[-30.168231 -6.251109], count: 1
[244] error:2.999994, param:[43.949242 -40.656901], count: 1
[245] error:3.000000, param:[14.735507 -41.358553], count: 1
[246] error:3.000000, param:[-32.957073 -22.588307], count: 1
[247] error:3.000000, param:[35.876020 48.707822], count: 1
[248] error:3.000000, param:[26.520913 16.553276], count: 1
[249] error:2.999945, param:[-23.037660 22.862786], count: 1
[250] error:3.000000, param:[9.010923 48.543703], count: 1
[251] error:3.000322, param:[-37.685216 41.583579], count: 1134
[252] error:2.999311, param:[-16.789104 17.246572], count: 1985
[253] error:3.000000, param:[-26.957477 -39.887731], count: 1
[254] error:3.000000, param:[31.797644 -1.682722], count: 1
[255] error:3.000000, param:[10.611472 -44.537007], count: 1
[256] error:3.000000, param:[40.469481 -10.421755], count: 1
[257] error:2.999971, param:[31.617826 -27.261875], count: 1
[258] error:3.000000, param:[-43.895713 -13.654600], count: 1
[259] error:3.000000, param:[-43.101459 26.882767], count: 1
[260] error:3.000000, param:[13.149718 0.676794], count: 1
[261] error:3.000000, param:[-32.778664 -45.282332], count: 1
[262] error:3.000000, param:[-10.366992 -7.048000], count: 1
[263] error:3.000000, param:[14.088053 -46.844649], count: 1
[264] error:2.999855, param:[19.353294 -43.168082], count: 1
[265] error:0.735228, param:[10.592212 -15.620816], count: 13050
[266] error:0.735228, param:[10.592207 -15.620810], count: 20292
[267] error:0.735228, param:[10.592179 -15.620769], count: 14525
[268] error:3.000000, param:[-19.727561 -48.825249], count: 1
[269] error:3.000000, param:[35.075200 -23.525782], count: 1
[270] error:0.735228, param:[10.592196 -15.620793], count: 33691
[271] error:3.000000, param:[25.775669 21.380389], count: 1
[272] error:2.999574, param:[10.184962 -3.634969], count: 1
[273] error:3.000000, param:[30.539955 -10.474150], count: 1
[274] error:3.000000, param:[12.227655 1.277312], count: 1
[275] error:3.000000, param:[40.148181 38.948996], count: 1
[276] error:0.735287, param:[11.412156 -16.836012], count: 20333
[277] error:3.000000, param:[38.129115 38.136486], count: 1
[278] error:0.735228, param:[10.592191 -15.620785], count: 16726
[279] error:3.000000, param:[18.012776 2.566675], count: 1
[280] error:3.000113, param:[-23.583091 44.888255], count: 2588
[281] error:2.999994, param:[4.118151 -20.576423], count: 1
[282] error:3.000000, param:[38.632067 4.608060], count: 1
[283] error:3.000000, param:[-8.288164 -28.396655], count: 1
[284] error:3.000000, param:[36.640914 -14.911587], count: 1
[285] error:2.999966, param:[24.598365 -18.876404], count: 1
[286] error:3.000000, param:[-38.304331 -34.847437], count: 1
[287] error:3.000000, param:[2.074702 31.110662], count: 1
[288] error:3.000000, param:[-1.219138 -32.558716], count: 1
[289] error:3.000000, param:[-35.292159 36.013044], count: 1
[290] error:2.999989, param:[-21.689001 18.872949], count: 1
[291] error:3.000000, param:[-33.231239 -42.742459], count: 1
[292] error:3.000000, param:[23.287071 20.501237], count: 1
[293] error:3.000000, param:[12.890112 -38.923551], count: 1
[294] error:3.000000, param:[37.119805 25.091148], count: 1
[295] error:3.000000, param:[34.432388 -19.651047], count: 1
[296] error:3.000000, param:[27.025472 4.723302], count: 1
[297] error:2.999806, param:[-8.704963 22.644721], count: 1
[298] error:3.000000, param:[-16.370569 43.352763], count: 1
[299] error:0.735286, param:[11.412104 -16.835934], count: 79796
[300] error:3.000000, param:[-43.307622 40.914936], count: 1
========== result ==========
minimum error: 0.735228
ideal param:   [10.592216 -15.620822]
time per trial:1.113439[s]

===== online learning =====
[001] error:2.954280, param:[40.295008 -45.179852], count: 1
[002] error:3.000000, param:[21.208663 16.557875], count: 1
[003] error:3.000000, param:[49.595991 8.806686], count: 1
[004] error:3.000000, param:[-46.318695 11.011140], count: 1
[005] error:3.000000, param:[-43.589632 30.912179], count: 1
[006] error:3.000000, param:[-3.522950 24.447739], count: 1
[007] error:3.000000, param:[-39.071784 -39.925943], count: 1
[008] error:3.000000, param:[11.687733 -40.098650], count: 1
[009] error:3.000000, param:[-35.682398 6.561260], count: 1
[010] error:3.000000, param:[-41.111136 39.053596], count: 1
[011] error:3.000000, param:[-33.634237 -15.126215], count: 1
[012] error:2.999374, param:[-3.118731 -4.249613], count: 1
[013] error:2.999999, param:[-21.954145 47.978209], count: 1
[014] error:3.000000, param:[33.211207 30.002271], count: 1
[015] error:3.000000, param:[-49.830827 32.128735], count: 1
[016] error:3.000000, param:[46.789453 -40.907700], count: 1
[017] error:0.736542, param:[10.143633 -14.957253], count: 5883
[018] error:3.000000, param:[-45.951641 -36.372712], count: 1
[019] error:2.999994, param:[38.549509 -34.113492], count: 1
[020] error:3.000000, param:[-10.028935 -33.634915], count: 1
[021] error:3.000000, param:[-0.256190 47.387807], count: 1
[022] error:0.734896, param:[11.029057 -16.266293], count: 370
[023] error:3.000000, param:[43.189165 4.500160], count: 1
[024] error:3.016967, param:[-17.927865 20.129135], count: 46
[025] error:3.000000, param:[-44.496108 -14.612087], count: 1
[026] error:3.000000, param:[2.265813 28.795260], count: 1
[027] error:3.000000, param:[-15.562060 -32.601554], count: 1
[028] error:3.000000, param:[26.260903 20.849025], count: 1
[029] error:3.000000, param:[22.038582 38.508849], count: 1
[030] error:3.000000, param:[-5.376574 -16.153174], count: 1
[031] error:3.000000, param:[-31.721441 2.002913], count: 1
[032] error:3.156195, param:[-24.139476 42.186228], count: 2
[033] error:3.000000, param:[17.536368 14.243983], count: 1
[034] error:3.000000, param:[-32.697068 -29.519906], count: 1
[035] error:3.000000, param:[-10.945258 -47.170713], count: 1
